test1	test2	test3
1.1E+14	1.00E+16	1.00E+16
-1000000000	1.00E+16	1.00E+16
66257.60527	-1.00E+16	1.00E+16
3666.39329	-1.00E+16	1.00E+16
1.00E+24	529630.9524	529630.9524
6386.97558	66257.60527	66257.60527
6153.80829	3666.39329	3666.39329
42420.20695	21196.36521	21196.36521
3289.32067	2051.03228	2051.03228
87168.27388	9.93E+03	9.93E+03
90339.1666	57724.70894	57724.70894
372.43	22469.65844	22469.65844
50257.00168	6386.97558	6386.97558
1363.40542	25643.85547	25643.85547
10932.69526	46955.59099	46955.59099
15706.15579	6153.80829	6153.80829
4346.56504	53491.34898	53491.34898
455.653	42420.20695	42420.20695
30996.9026	10629.60417	10629.60417
220.10591	251482.2651	251482.2651
24555.22304	4537.66496	4537.66496
37372.05617	27542.38577	27542.38577
8104.7279	3289.32067	3289.32067
6297.76622	99153.50126	99153.50126
8263.0202	87168.27388	87168.27388
129922.7496	6048.04027	6048.04027
39380.71179	135099.3839	135099.3839
64086.10709	29346.26988	29346.26988
66634.92826	44308.66045	44308.66045
300.00424	90339.1666	90339.1666
3938.60177	372.43	372.43
1751.54071	50257.00168	50257.00168
57645.51402	108637.9319	108637.9319
661.4479	56384.45481	56384.45481
29032.70347	1363.40542	1363.40542
33327.80752	13867.94662	13867.94662
36023.93991	1284.06203	1284.06203
91832.3064	453.73603	453.73603
7941.0671	14379.28792	14379.28792
710.50045	10932.69526	10932.69526
10987.85437	44834.15424	44834.15424
2439.53456	67825.21949	67825.21949
13849.03688	15706.15579	15706.15579
12740.99623	4346.56504	4346.56504
9655.53373	455.653	455.653
174903.7192	13069.14067	13069.14067
1829.73527	1862.33351	1862.33351
6908.14269	30996.9026	30996.9026
396.49374	220.10591	220.10591
388.4563	24555.22304	24555.22304
29986.18706	51491.8403	51491.8403
111482.1869	37372.05617	37372.05617
42797.95499	8104.7279	8104.7279
29541.39113	1415.43752	1415.43752
139008.2225	139073.586	139073.586
93438.20939	6297.76622	6297.76622
12264.87776	8817.87285	8817.87285
164.12537	8263.0202	8263.0202
9615.79827	40264.21644	40264.21644
54848.34274	88638.25377	88638.25377
1220.99902	18423.14256	18423.14256
28.51135	287611.9781	287611.9781
72590.90759	55.53775	55.53775
88678.15047	60293.37655	60293.37655
13707.3445	8804.59526	8804.59526
4734.22331	129922.7496	129922.7496
8566.32488	438.47292	438.47292
76724.70659	48015.17356	48015.17356
4047.88531	16195.03076	16195.03076
1093.67204	39380.71179	39380.71179
174.67869	9962.95762	9962.95762
30318.83354	10592.76671	10592.76671
365609.7784	8398.17991	8398.17991
43500.1538	64086.10709	64086.10709
110168.058	21500.54423	21500.54423
168.3419	84775.74642	84775.74642
10458.36004	66634.92826	66634.92826
18485.42427	83463.12593	83463.12593
136996.8088	300.00424	300.00424
43984.86787	45350.47426	45350.47426
1932.73168	8072.66751	8072.66751
4734.3742	2339.83165	2339.83165
115579.9302	3938.60177	3938.60177
30411.63068	6102.0922	6102.0922
18190.67888	1751.54071	1751.54071
30400.8122	13104.76469	13104.76469
15189.42936	57645.51402	57645.51402
149322.9858	718.95308	718.95308
104059.4464	6614.11553	6614.11553
3141.0394	36860.66461	36860.66461
37678.91127	661.4479	661.4479
147406.9438	29032.70347	29032.70347
86193.7524	92043.46365	92043.46365
1446.32364	7386.51779	7386.51779
347.41315	4710.03011	4710.03011
5166.30252	2013.01224	2013.01224
6029.25146	51324.38092	51324.38092
5530.85341	49685.90377	49685.90377
2410.97076	23148.47956	23148.47956
375.46038	173668.6722	173668.6722
10731.12147	33327.80752	33327.80752
50.14865	7038.20699	7038.20699
7827.12392	129178.6883	129178.6883
4186.70438	29323.11837	29323.11837
129.33842	45902.96868	45902.96868
403.55871	2008.41544	2008.41544
37.75541	36023.93991	36023.93991
661.118	91832.3064	91832.3064
1411.73193	7941.0671	7941.0671
102309.0843	710.50045	710.50045
4619.30165	31324.82774	31324.82774
5217.37749	10987.85437	10987.85437
8447.87088	10301.30831	10301.30831
94169.53333	2439.53456	2439.53456
51976.80054	15028.73297	15028.73297
26971.2149	13849.03688	13849.03688
63697.05516	12740.99623	12740.99623
9142.48349	9655.53373	9655.53373
6542.54478	26659.41696	26659.41696
202437.1728	174903.7192	174903.7192
9397.38335	14205.10109	14205.10109
45647.02134	3779.0296	3779.0296
52742.49285	26872.14733	26872.14733
17101.22245	1829.73527	1829.73527
2112.58126	6908.14269	6908.14269
58717.95582	396.49374	396.49374
1143.82297	388.4563	388.4563
18843.84216	108008.5034	108008.5034
22591.33895	1710.77802	1710.77802
698.65812	29986.18706	29986.18706
1045.00305	12469.07173	12469.07173
301.41664	452.11897	452.11897
87078.71705	111482.1869	111482.1869
42252.28161	42797.95499	42797.95499
147420.6388	99310.55279	99310.55279
51975.23406	133605.6408	133605.6408
9770.38344	29541.39113	29541.39113
11432.88261	583.27933	583.27933
61403.30476	139008.2225	139008.2225
63482.85222	93438.20939	93438.20939
6454.59014	4908.35965	4908.35965
1201.63126	12264.87776	12264.87776
735.30572	41411.30746	41411.30746
31459.17341	1725.93711	1725.93711
2820.16649	2681.06602	2681.06602
7055.42787	164.12537	164.12537
1516.90521	1252.54159	1252.54159
3709.2025	9615.79827	9615.79827
21587.03125	54848.34274	54848.34274
103695.8008	1220.99902	1220.99902
83556.5799	28.51135	28.51135
16175.43469	72590.90759	72590.90759
4247.13978	88678.15047	88678.15047
9551.76498	5236.50655	5236.50655
35039.83457	13707.3445	13707.3445
51788.22715	4734.22331	4734.22331
71606.15447	38519.75059	38519.75059
24497.40349	2984.14845	2984.14845
37034.48883	8566.32488	8566.32488
54317.09498	76724.70659	76724.70659
5550.41749	4047.88531	4047.88531
114077.9851	1093.67204	1093.67204
24296.54299	1271.25834	1271.25834
1152.49289	174.67869	174.67869
6828.19222	30318.83354	30318.83354
182.44521	1927.90296	1927.90296
191136.8704	80903.35747	80903.35747
21928.3411	365609.7784	365609.7784
31544.60967	43500.1538	43500.1538
2439.15071	28160.07027	28160.07027
18422.31422	119791.3274	119791.3274
10844.91034	110168.058	110168.058
8546.88145	29984.13219	29984.13219
213232.2254	168.3419	168.3419
9249.50842	10458.36004	10458.36004
492.39991	40635.07516	40635.07516
45236.54868	90628.68644	90628.68644
1321.0136	4535.12424	4535.12424
38474.77258	115943.2771	115943.2771
2317.77638	51858.35249	51858.35249
26407.67513	32522.52035	32522.52035
21925.84525	18485.42427	18485.42427
29832.90966	16244.81045	16244.81045
1982.49511	38084.91966	38084.91966
1777.19659	136996.8088	136996.8088
2843.08443	43984.86787	43984.86787
17151.31112	1932.73168	1932.73168
10166.30843	4734.3742	4734.3742
1781.95751	115579.9302	115579.9302
4353.65665	9095.92167	9095.92167
11214.21487	6751.12407	6751.12407
27654.82125	1262.70982	1262.70982
449.02955	30411.63068	30411.63068
47287.90399	18190.67888	18190.67888
158407.6843	12676.91512	12676.91512
47607.34456	63767.59824	63767.59824
213955.9414	30400.8122	30400.8122
14806.62491	12886.96017	12886.96017
1387.43719	122168.5623	122168.5623
1429.36812	9147.59717	9147.59717
10813.17457	9596.20548	9596.20548
12203.52164	15189.42936	15189.42936
130862.1721	149322.9858	149322.9858
180.1808	104059.4464	104059.4464
84461.81496	1664.13467	1664.13467
6411.46626	3141.0394	3141.0394
7346.80576	37678.91127	37678.91127
154398.2766	48069.65627	48069.65627
50612.97521	147406.9438	147406.9438
6122.36558	98421.70904	98421.70904
515238.2978	86193.7524	86193.7524
3183.17777	1446.32364	1446.32364
1250.66024	302.29428	302.29428
1192.40792	4598.06975	4598.06975
4548.64352	347.41315	347.41315
25110.42033	131017.2148	131017.2148
431.57621	5166.30252	5166.30252
106957.8509	38450.6232	38450.6232
18690.06915	8352.16704	8352.16704
83544.56445	6029.25146	6029.25146
121821.3303	1669.40706	1669.40706
34826.81397	45355.8114	45355.8114
52744.96305	5530.85341	5530.85341
13346.03383	15012.27331	15012.27331
41516.46996	50260.3742	50260.3742
172077.4859	2410.97076	2410.97076
7255.81578	185235.9079	185235.9079
25228.54281	1571.62915	1571.62915
6108.18786	375.46038	375.46038
473.7455	10731.12147	10731.12147
759.86007	25502.98311	25502.98311
1188.05381	944.97531	944.97531
186.14719	6752.90543	6752.90543
25875.32049	50.14865	50.14865
6449.04141	7827.12392	7827.12392
105307.3892	4186.70438	4186.70438
55430.29585	129.33842	129.33842
5095.03467	403.55871	403.55871
495.86057	3884.77853	3884.77853
9211.64306	106854.3492	106854.3492
1287.52791	4527.24764	4527.24764
4545.78475	37.75541	37.75541
51158.04698	18432.5499	18432.5499
33369.74014	57963.94336	57963.94336
25689.56389	3170.90115	3170.90115
35468.56837	65937.49039	65937.49039
14174.85222	19699.605	19699.605
4793.10456	1988.94586	1988.94586
97927.16208	158461.7045	158461.7045
10899.39577	661.118	661.118
2927.52638	131495.8568	131495.8568
2702.73732	1338.54239	1338.54239
37237.10043	1411.73193	1411.73193
3740.60423	102309.0843	102309.0843
402469.1736	163518.7069	163518.7069
95.05181	3093.63906	3093.63906
588356.7115	14390.7004	14390.7004
62667.62496	3866.13327	3866.13327
17602.02611	154793.3765	154793.3765
6583.15685	13934.11354	13934.11354
77841.70223	4619.30165	4619.30165
1215.18697	38.83769	38.83769
16212.79973	914.56151	914.56151
1967.85936	99696.69869	99696.69869
7916.40893	41834.2836	41834.2836
83181.81071	5217.37749	5217.37749
22775.07582	2013.6968	2013.6968
196335.7456	8447.87088	8447.87088
872.97861	407.91425	407.91425
25093.79972	21578.34855	21578.34855
8411.61515	4448.43751	4448.43751
21663.94088	2225.39227	2225.39227
17165.55044	26364.90471	26364.90471
71647.84805	94169.53333	94169.53333
3381.27869	87163.58641	87163.58641
18071.03758	42391.6261	42391.6261
24077.87454	51976.80054	51976.80054
106228.2564	8132.61156	8132.61156
4265.9628	26971.2149	26971.2149
354123.4727	145475.3373	145475.3373
46769.24127	63697.05516	63697.05516
2821.96731	9142.48349	9142.48349
4380.85194	17689.06914	17689.06914
7856.9132	9090.62817	9090.62817
15095.62101	5408.09676	5408.09676
339463.7459	6542.54478	6542.54478
8449.38755	56955.81975	56955.81975
68080.52477	202437.1728	202437.1728
44834.15424	29481.1202	29481.1202
38084.91966	9397.38335	9397.38335
163518.7069	45647.02134	45647.02134
79436.14368	284876.9586	284876.9586
78902.21738	82087.24922	82087.24922
38297.0022	435.54052	435.54052
17709.40234	5710.92509	5710.92509
151438.5434	125483.7296	125483.7296
28462.19477	842174.843	842174.843
147007.8023	690.08771	690.08771
12272.66119	82403.32693	82403.32693
44661.31375	1894.5187	1894.5187
12469.07173	52742.49285	52742.49285
8306.33216	17101.22245	17101.22245
120951.2411	2112.58126	2112.58126
529630.9524	58717.95582	58717.95582
21196.36521	86016.22088	86016.22088
2051.03228	1143.82297	1143.82297
57724.70894	18843.84216	18843.84216
22469.65844	22591.33895	22591.33895
25643.85547	698.65812	698.65812
46955.59099	2263.19897	2263.19897
53491.34898	153886.7715	153886.7715
10629.60417	1238.8379	1238.8379
251482.2651	192418.8272	192418.8272
4537.66496	38172.81082	38172.81082
27542.38577	1045.00305	1045.00305
99153.50126	31107.73087	31107.73087
6048.04027	301.41664	301.41664
135099.3839	23011.02977	23011.02977
29346.26988	87078.71705	87078.71705
44308.66045	42252.28161	42252.28161
108637.9319	147420.6388	147420.6388
56384.45481	68790.05813	68790.05813
13867.94662	829.52019	829.52019
1284.06203	3000.06783	3000.06783
453.73603	8404.5717	8404.5717
14379.28792	84737.02959	84737.02959
67825.21949	51975.23406	51975.23406
13069.14067	9770.38344	9770.38344
1862.33351	12249.98645	12249.98645
51491.8403	264574.0425	264574.0425
1415.43752	56627.57136	56627.57136
139073.586	11432.88261	11432.88261
8817.87285	17634.69222	17634.69222
40264.21644	61403.30476	61403.30476
88638.25377	4581.91659	4581.91659
18423.14256	63482.85222	63482.85222
287611.9781	6454.59014	6454.59014
55.53775	3788.49105	3788.49105
60293.37655	1201.63126	1201.63126
8804.59526	79436.14368	79436.14368
438.47292	919.74929	919.74929
48015.17356	735.30572	735.30572
16195.03076	3311.16059	3311.16059
9962.95762	32065.06244	32065.06244
10592.76671	32183.23763	32183.23763
8398.17991	29009.15299	29009.15299
21500.54423	31459.17341	31459.17341
84775.74642	38868.13848	38868.13848
83463.12593	2820.16649	2820.16649
45350.47426	7055.42787	7055.42787
8072.66751	1516.90521	1516.90521
2339.83165	3709.2025	3709.2025
6102.0922	21587.03125	21587.03125
13104.76469	15731.27425	15731.27425
718.95308	72098.62446	72098.62446
6614.11553	1492.28922	1492.28922
36860.66461	103695.8008	103695.8008
92043.46365	3009.71475	3009.71475
7386.51779	88402.85687	88402.85687
4710.03011	6447.1889	6447.1889
2013.01224	83556.5799	83556.5799
51324.38092	70536.05149	70536.05149
